label,amr_residual,dep_residual,plaintext
ArgM_INT_f1,0.29602676021865054,0.3114048289413283,0.3120953120953121
ArgM_LOC_f1,0.7066366142185901,0.7296722849264219,0.6121945901163554
ArgM_MNR_f1,0.799699043940994,0.7989729041895698,0.732481607293209
ArgM_PRP_f1,0.6919529159978598,0.6567030885288049,0.3811860940695297
ArgM_SIM_f1,0.17089881476673927,0.2054154995331466,0.18674315880198233
ArgM_TMP_f1,0.8913395812408171,0.8646798853320593,0.7865104178046334
Arg_DIR_f1,0.34766494340962434,0.3752046783625731,0.3116499112950917
Arg_GOL_f1,0.37746736140881404,0.3446097281252108,0.37121134386900856
Arg_PAG_f1,0.21465201465201467,0.26204321638111594,0.2071703426372589
Arg_PPT_f1,0.6598105835600198,0.6887080057045151,0.6502142166985898
Arg_PRD_f1,0.40099810467510544,0.49230444866118495,0.4582213708640399
